id,lat,lon,x,y,diam
09-1-129477,-33.8496,155.842,4725651.576800304,-1026433.2825172903,3834.82
09-1-117467,-30.5323,94.049,2851880.7840408348,-925841.6321552593,4160.4400000000005
08-1-025088,6.34372,100.99,3062355.159334856,192362.84455268556,3807.5299999999997
09-1-174018,-49.8881,132.837,4028062.900292745,-1512774.3382950118,5836.7699999999995
08-1-194222,49.4425,105.652,3203722.619012241,1499262.2533460108,4507.04
06-1-040611,16.5583,32.6759,990842.766124466,502103.1333281943,3254.87
07-1-220692,-56.806,12.6576,383820.8403287145,-1722548.2441942354,4423.320000000001
07-1-180695,-46.9496,13.8249,419217.28727882414,-1423669.1730736482,3247.3
07-1-008740,-1.2607,21.3409,647127.5890667317,-38228.64787972525,3469.85
03-1-116856,-41.0315,-131.312,-3981819.7908959175,-1244212.5529284894,3947.02
03-1-133065,-48.4022,-123.37299999999999,-3741082.7118785935,-1467716.871899768,3546.48
03-1-116930,-40.7099,-128.061,-3883238.578667007,-1234460.563432083,8955.460000000001
03-1-117085,-40.5361,-121.89699999999999,-3696325.4466525493,-1229190.3651283656,6191.2
09-1-177441,-51.1586,156.291,4739266.761140747,-1551300.1550088937,3085.4
04-2-007972,14.8806,-31.452999999999975,-953760.3408907729,451229.64832159877,3587.45
09-1-048675,-12.2584,159.648,4841062.248514616,-371715.758839394,8980.35
06-1-029673,12.7662,73.7057,2235003.7693572342,387113.95618477714,3175.83
07-1-184116,-46.5501,72.2359,2190434.5089038196,-1411554.9945792009,5366.570000000001
04-1-107644,55.7369,-56.690999999999974,-1719061.0588954575,1690129.5502557773,3736.08
08-1-044922,11.9582,122.755,3722342.8813164695,362612.6890420643,3590.86
09-1-181567,-53.5735,147.173,4462778.451973352,-1624528.0139481723,6946.570000000001
05-1-000716,-35.6839,-22.505999999999972,-682457.3246459074,-1082055.4042003078,7839.67
08-1-117264,28.8828,106.395,3226252.868377384,875823.2656306246,5440.28
08-1-183295,45.4683,174.729,5298368.696261215,1378751.194090356,3504.1000000000004
02-1-085989,24.1249,-95.52499999999998,-2896638.0492668785,731547.7966475638,5148.98
08-1-104785,26.1175,142.212,4312344.310519146,791970.1047027241,3106.1800000000003
09-1-148440,-40.8103,141.634,4294817.413973987,-1237505.0278146674,3708.87
09-1-108333,-28.8159,125.443,3803852.047256583,-873794.6334872489,6687.22
09-1-100012,-26.2996,121.466,3683256.0826197406,-797491.9868149618,3924.11
04-1-021650,12.5593,-17.283000000000015,-524078.4653805759,380840.0549820206,3512.21
08-1-152734,37.4556,146.247,4434699.02948059,1135779.2841467732,3032.96
06-1-059129,27.9163,76.3758,2315970.147324756,846515.7474456842,4663.84
07-1-095440,-24.9855,41.1527,1247887.7429998964,-757644.0720225868,5654.18
08-1-023258,6.55126,143.422,4349035.564532367,198656.15269971354,3131.11
08-1-210896,56.3604,91.5854,2777176.1779359,1709036.1592452342,3790.5
07-1-018199,-5.59667,8.01115,242924.90875042512,-169709.78561832468,3228.13
08-1-143581,35.4333,155.823,4725075.433142245,1074456.372584016,3941.92
09-1-181845,-53.5516,159.641,4840849.985061647,-1623863.9325738833,3665.99
08-1-094611,24.1026,144.814,4391245.668322783,730871.5859331053,7815.820000000001
09-1-104533,-27.1413,150.155,4553202.682938165,-823015.1508669683,6404.36
03-1-074054,-24.3752,-158.964,-4820321.076824498,-739137.7312587284,6348.58
03-1-093346,-31.5206,-158.102,-4794182.348758882,-955810.1993794462,4562.55
04-2-014537,37.2889,-41.83499999999998,-1268577.3649942928,1130724.3816310675,3433.0
04-1-078666,36.8073,-79.25999999999999,-2403428.754618088,1116120.6560667972,5642.08
02-1-112831,31.7057,-96.66399999999999,-2931176.345399985,961423.0515429563,4755.34
06-2-010279,27.3543,80.3358,2436050.615004388,829474.0245073121,6114.42
02-1-173978,56.6911,-118.27600000000001,-3586524.5947667044,1719064.0912305007,3541.27
02-1-002548,0.824535,-171.522,-5201121.711450967,25002.663741976092,3337.53
03-1-046826,-15.6986,-146.396,-4439217.208693787,-476034.1489685531,4051.8999999999996
07-1-112958,-30.3461,50.0605,1518002.083908135,-920195.4243062825,9818.99
09-1-023675,-5.23521,155.968,4729472.318953746,-158749.10737401163,3696.38
08-1-109681,26.9141,131.546,3988915.4548951676,816125.6856506016,5293.72
09-1-014879,-2.63926,138.956,4213611.481538115,-80031.20584044076,3227.08
04-2-007524,12.6984,-10.62700000000001,-322246.2449574368,385058.03302601975,6049.47
07-1-174419,-44.3956,68.3071,2071300.1297574213,-1346223.3360903708,3199.31
08-1-138604,35.0221,90.7012,2750364.2714908672,1061987.4108896055,3289.82
09-1-013475,-3.08285,110.728,3357643.945765224,-93482.34085508923,5877.67
08-1-031929,7.86304,159.675,4841880.978976069,238433.71731910433,5773.22
09-1-033435,-7.48699,169.465,5138746.579628493,-227030.62139210294,3015.87
02-1-153120,48.3512,-90.07,-2731224.1727031437,1466170.3810281365,5662.78
09-1-049689,-12.5544,163.303,4951894.0943148825,-380691.4705649422,5143.27
07-1-109887,-29.2615,42.0224,1274259.960863779,-887306.7184362501,7692.41
06-1-123925,59.8221,78.9503,2394037.612991729,1814006.5014085127,3502.96
07-1-089415,-23.6664,68.4477,2075563.5928270563,-717644.5404780912,6781.64
07-1-090399,-23.6464,45.1871,1370224.267951085,-717038.0734696083,5917.34
03-1-061554,-21.1465,-135.739,-4116061.263223626,-641232.7297442771,7525.43
06-1-092062,45.5024,86.016,2608293.3100836417,1379785.2203398193,5420.530000000001
09-1-100096,-26.2645,120.422,3651598.504776929,-796427.6372150742,3051.7400000000002
06-1-096602,47.0499,76.9104,2332181.010461506,1426710.605121191,5061.650000000001
02-1-069728,18.5675,-116.394,-3529456.049268455,563028.8090003955,3462.45
03-1-113368,-39.5274,-138.229,-4191566.405779759,-1198603.2015555263,6772.03
06-1-020881,7.92699,11.4446,347038.61626422114,240372.8955787287,3509.52
02-1-177110,57.5978,-106.989,-3244264.938529329,1746558.2730600769,9482.480000000001
06-1-002105,0.754447,69.3238,2102129.880133654,22877.360757448303,3885.77
02-1-121493,34.3496,-174.741,-5298732.576466304,1041594.9577293651,5917.709999999999
05-1-079222,-35.6852,-75.04000000000002,-2275464.215828178,-1082094.8245558592,3871.5099999999998
07-1-105411,-28.4766,71.4296,2165984.7914568274,-863505.9206883351,5326.55
09-1-088437,-23.0782,178.852,5423391.870059984,-699808.3457586066,4807.79
07-1-226160,-59.4312,27.0409,819970.6864843837,-1802153.1037277123,4251.58
03-1-087839,-29.7854,-122.958,-3728498.5214525717,-903193.121723462,3662.5299999999997
08-1-000253,52.0357,175.585,5324325.484224287,1577896.765665915,8429.74
